Gender,Total,C++,HTML/CSS,JavaScript,Other_langs,PHP,Python,C,TypeScript,Bash/Shell,SQL,C#,Node.js,Java
Man,15.78114750121812,3.7811306268205893,8.759288828516045,10.231158153181562,15.39050519836909,3.4740165917513726,7.5131145708313385,3.251907334245957,4.815531195487786,4.238215869949018,7.4146102752425165,4.426576332391883,5.392635591057413,5.530161930937309
Other,15.477704816584728,4.404029291436037,8.058582872073435,8.928387252036993,19.58950734004882,2.9738371093615705,8.013889366383609,4.032729398012858,3.8230137174682848,4.998796713308351,6.0817547357926225,3.8642692611819713,4.534671846529378,5.218826279781346
Woman,17.23633016776137,3.5560389909216417,9.990377776848094,10.396184579341504,14.95628163828808,3.3259423503325944,7.7061456720913695,3.0916621344601096,4.045517299083797,3.505836087520395,8.00736309249885,3.656444797724135,4.5600970589465755,5.9657783541814835
