Gender,Total,nan,JavaScript,TypeScript,C#,HTML/CSS,SQL,Swift,C++,Lua,Go,Python,C,Dart,Java,Kotlin,PHP,Bash/Shell,Erlang,Rust,PowerShell,Perl,Assembly,OCaml,F#,Haskell,LISP,Ruby,Groovy,Clojure,R,VBA,Fortran,Elixir,MATLAB,Julia,Scala,APL,Objective-C,Solidity,Crystal,COBOL,SAS,Delphi
Other,5262,1619,2305,1141,974,2001,1635,190,976,277,492,2007,953,213,1258,362,753,1331,71,553,457,151,341,58,55,171,116,279,144,83,207,196,66,112,181,115,125,85,105,70,47,52,42,106
Man,64607,600,41958,22615,18195,35167,31881,3127,14493,2488,7219,30687,12276,4279,21340,5912,13418,18581,547,5913,7811,1431,3406,350,659,1341,789,3786,2121,948,2877,2876,554,1364,2566,935,1636,366,1531,932,276,392,352,2168
Woman,3399,74,2180,996,714,1974,1611,172,555,102,211,1461,463,156,1046,233,656,744,23,159,307,62,140,14,16,65,27,234,92,39,224,113,26,52,166,34,76,53,62,29,17,20,41,37
