Gender,Total,Other_langs,JavaScript,TypeScript,C#,HTML/CSS,SQL,C++,Python,C,Java,PHP,Bash/Shell,PowerShell
Other,18.97104950066698,24.097775534484622,8.310199372679094,4.1136388217903885,3.511554962685222,7.21419043155352,5.894653351119444,3.518765547824206,7.235822186970473,3.4358438187258895,4.535458052420954,2.714785304827487,4.798644409993871,1.6476187042578505
Man,16.28323713990473,16.064974670463997,10.574892254958792,5.699775688686141,4.585780174912418,8.863321319656224,8.03513370466517,3.652745923330897,7.7342036948357995,3.0939839201552535,5.378430828943721,3.3818081004108174,4.683065755979535,1.9686468230965042
Woman,18.00794701986755,14.670198675496689,11.549668874172186,5.27682119205298,3.7827814569536424,10.458278145695365,8.535099337748344,2.9403973509933774,7.740397350993377,2.4529801324503313,5.541721854304636,3.475496688741722,3.9417218543046357,1.6264900662251656
