Gender,Total,C#,HTML/CSS,JavaScript,nan,Ruby,SQL,Java,Python,PHP,Swift,C,TypeScript,Bash/Shell/PowerShell,Kotlin,R,VBA,Perl,Objective-C,Scala,C++,Go,Haskell,Rust,Dart,Assembly,Julia
Man,46013,14707,28669,31040,479,3164,25176,18238,20227,11829,2708,9798,11976,15726,3632,2439,2800,1424,1856,1646,10830,4128,922,2448,1840,2737,372
Other,14604,2365,4974,5250,6540,557,4133,3390,3479,2273,468,2052,1790,2204,613,490,508,280,347,272,2144,696,239,401,362,600,117
Woman,3844,969,2538,2532,64,325,2104,1446,1581,905,221,637,812,1050,223,359,191,92,137,134,733,214,61,80,78,216,30
